1483263742812 106
1483263744203 1382
1483263746273 2052
1483263747071 790
1483263748010 909
1483263749803 1739
1483263751106 1292
1483263751576 463
1483263752895 1303
1483263753559 657
1483263755037 1456
1483263756389 1345
1483263756673 276
1483263758042 1342
1483263758644 594
1483263758792 131
1483263760052 1247
1483263761368 1310
1483263761515 141
1483263762634 1111
1483263762743 93
1483263764026 1272
1483263765492 1441
1483263766766 1268
1483263766810 38
1483263766867 48
1483263766914 39
1483263768383 1461
1483263768989 600
1483263769103 81
1483263769661 551
1483263769720 35
1483263770179 451
1483263770239 51
1483263771083 837
1483263772364 1274
1483263773482 1112
1483263773603 115
1483263773647 37
1483263773712 59
1483263774628 910
1483263774808 175
1483263774854 35
1483263774937 77
1483263775566 618
1483263776772 1201
1483263776827 48
1483263777893 1048
1483263777924 25
1483263777968 38
1483263778005 30
1483263779298 1287
1483263779324 20
1483263780315 985
1483263781067 747
1483263781186 113
1483263781375 182
1483263781432 47
1483263782427 988
1483263782498 66
1483263782657 151
1483263782703 34
1483263782804 93
1483263782848 34
1483263782876 21
1483263782917 36
1483263783977 1054
1483263784016 33
1483263784089 67
1483263784112 16
1483263784218 101
1483263785509 1283
1483263786190 676
1483263786430 228
1483263786491 49
1483263787056 559
1483263787477 415
1483263787612 129
1483263788914 1294
1483263788972 53
1483263790156 1177
1483263790194 33
1483263790300 100
1483263790441 132
1483263790501 53
1483263790554 47
1483263791733 1173
1483263792937 1198
1483263793020 78
1483263793143 117
1483263793181 31
1483263793209 23
1483263793583 369
1483263793635 45
1483263793730 89
1483263793752 14
1483263793781 25
1483263793834 47
1483263794448 607
1483263795663 1209
1483263796858 1190
1483263796880 17
1483263797065 179
1483263797132 61
1483263798414 1275
1483263798480 61
1483263799720 1233
1483263799808 83
1483263800550 736
1483263801724 1168
1483263801763 34
1483263801805 37
1483263803004 1193
1483263804339 1328
1483263804449 104
1483263805414 958
1483263806398 978
1483263806492 89
1483263806505 5
1483263806614 103
1483263807584 964
1483263807637 48
1483263807659 15
1483263808511 847
1483263809792 1276
1483263811034 1237
1483263811178 139
1483263811306 121
1483263811442 130
1483263811511 64
1483263812922 1405
1483263814093 1163
1483263815460 1361
1483263816677 1213
1483263817559 873
1483263818067 503
1483263818208 136
1483263818306 91
1483263818359 47
1483263818469 104
1483263818826 351
1483263819201 370
1483263819848 643
1483263821169 1302
1483263821217 44
1483263821643 420
1483263821744 96
1483263823060 1308
